recipient,purpose,term,amount
Texas Public Policy Foundation,To expand access to information about public sector retirement systems.,2015 - 2017,"$50,000"
Texas Public Policy Foundation,To support educational efforts related to retirement security and public pension policies in the state of Texas and across the nation.,2016 - 2017,"$44,758"
Texas Public Policy Foundation,To analyze the fiscal impact of transitioning the city of Austin Employees' Retirement System from a defined benefit to a defined contribution system.,2017 - 2018,"$50,431"
Texas Public Policy Foundation,To foster a national discussion about the need for pretrial reform.,2014 - 2015,"$103,799"
Texas Public Policy Foundation,To raise public awareness of reform efforts related to the criminal justice pretrial process and court-imposed fines and fees.,2016 - 2017,"$211,474"
Texas Public Policy Foundation,To raise public awareness of reform efforts related to the criminal justice pretrial process and court-imposed fines and fees.,2017 - 2019,"$286,269"
"Texas Tribune, Inc.","To support nonpartisan, investigative reporting.",2014 - 2015,"$50,000"
The Alliance for Health Reform,To educate health policy stakeholders and the public about the ways that prescription drug pricing impacts health care costs.,2016 - 2017,"$156,494"
"The Aspen Institute, Inc.",To support the development of a blueprint for establishing the Food and Drug Administration as an independent federal agency.,2016 - 2017,"$215,219"
"The Aspen Institute, Inc.",To support a convening to develop a set of recommendations for combatting the opioid epidemic in the United States.,2017 - 2018,"$100,000"
The Bail Project,To assess the feasibility of conducting a randomized controlled trial to test the impact of money bail.,2018 - 2019,"$175,075"
The Board of Trustees of the Leland Stanford Junior University,To support the Center for Education Policy Analysis in its evaluation of Ready4K.,2016 - 2019,"$432,547"
The Board of Trustees of the Leland Stanford Junior University,"To support the Institute for Economic Policy Research in its efforts to conduct research competitions designed to strengthen the body of high-quality research related to social insurance programs, tax policy, state and local government finances, retirement, education, and crime.",2016 - 2019,"Up To                    $904,365"
The Board of Trustees of the Leland Stanford Junior University,To conduct research on pretrial criminal justice data.,2013,"$29,827"
The Board of Trustees of the Leland Stanford Junior University,To support the production of tools to help education nonprofit organizations evaluate the effectiveness of local charter networks.,2018 - 2021,"Up To                    $694,901"
The Board of Trustees of the Leland Stanford Junior University,To support educational efforts related to the state of California's municipal public sector pensions.,2013,"$160,080"
The Board of Trustees of the Leland Stanford Junior University,To expand the Stanford Institute for Economic Policy Research Pension Tracker.,2016 - 2018,"$251,054"
The Board of Trustees of the Leland Stanford Junior University,To support the Institute for Economic Policy Research.,2017 - 2019,"$88,995"
The Board of Trustees of the Leland Stanford Junior University,To support the Center on Poverty and Inequality.,2017 - 2019,"$99,923"
The Board of Trustees of the Leland Stanford Junior University,To support the Stanford Institute for Economic Policy Research in its efforts to increase transparency around public sector pension plans.,2018 - 2020,"$352,170"
The Board of Trustees of the Leland Stanford Junior University,To support the development of a center that is focused on improving the quality of medical research.,2013 - 2017,"$4,930,270"
The Board of Trustees of the Leland Stanford Junior University,To support educational efforts related to the state of California's municipal public sector pensions.,2013,"$160,080"
The Board of Trustees of the Leland Stanford Junior University,To expand the Stanford Institute for Economic Policy Research Pension Tracker.,2016 - 2018,"$251,054"
The Board of Trustees of the Leland Stanford Junior University,To support the Institute for Economic Policy Research.,2017 - 2019,"$88,995"
The Board of Trustees of the University of Illinois,"To evaluate economic impacts associated with a sugar-sweetened beverage tax enacted in Seattle, Washington.",2018 - 2021,"Up To                    $595,470"
The Board of Trustees of the University of Illinois,To fund a randomized controlled trial of Big Brothers Big Sisters of America's community-based mentoring program.,2016 - 2024,"$1,760,785"
"The Center for Advancing Innovation, Inc.",To support the creation of sustainable startups that accelerate the commercialization of inventions from publicly funded research.,2016 - 2018,"$1,202,667"
"The Center for Scientific Integrity, Inc.","To support the expansion of Retraction Watch, an online website and database that promotes transparency and integrity in scientific research.",2015 - 2017,"$280,926"
"The Century Foundation, Inc.",To provide policy expertise and public education regarding higher education quality and accountability at the federal and state levels.,2018 - 2021,"Up To                    $2,308,201"
"The Century Foundation, Inc.",To identify reforms that address the unfair practices of for-profit colleges.,2015 - 2017,"$300,000"
"The Century Foundation, Inc.",To protect consumers and curb predatory student lending practices.,2017 - 2019,"$1,024,913"
The Chamberlain Project Foundation,To conduct nonpartisan educational outreach about ranked choice voting in the state of Maine.,2017,"$183,900"
"The Chancellor, Masters and Scholars of the University of Oxford",To support the Centre for Evidence-Based Medicine.,2014 - 2019,"$1,263,806"
The City Fund,To improve the quality of public education in cities across the United States.,2018 - 2022,"Up To                    $27,700,852"
The City Fund,To provide general operating support.,2018 - 2024,"Up To                    $72,651,000"
The Cleveland Clinic Foundation,To support efforts to increase the number of successful organ transplants and reduce the number of people on the organ donor wait list.,2016 - 2018,"$187,899"
The Council of State Governments,To support improvements to the pretrial criminal justice system in the United States.,2012 - 2013,"$50,000"
The Council of State Governments,To develop a risk assessment tool for defendants charged with driving under the influence.,2014 - 2016,"$29,841"
The Council of State Governments,"To produce a national snapshot of the impact of probation and parole revocations on prison admissions, prison populations, and related costs .",2018 - 2019,"$185,000"
"The CrossFit Foundation, Inc.",To conduct research and educate the public about sugar and its impact on health.,2016 - 2018,"$529,612"
The Energy Foundation,To support research and technical assistance efforts related to carbon pricing policies in Canada and China.,2017 - 2019,"Up To                    $4,200,000"
The Fund for a Healthier Colorado,"To support efforts to implement a sugar-sweetened beverage tax in Boulder, Colorado, and educate the public about the tax.",2017 - 2018,"$25,000"
"The Fund for Public Schools, Inc.","To help develop high-quality teachers in New York, New York.",2012,"$750,000"
The Institute for Higher Education Policy,"To serve as a nonpartisan, educational resource on higher education policy issues related to data.",2018 - 2019,"$381,211"
The Jain Family Institute,To support four pilot projects that will help determine the viability of income share agreements for student aid in higher education.,2017 - 2018,"$280,000"
"The John F. Finn Institute for Public Safety, Inc.",To conduct research on police body-worn cameras.,2017 - 2021,"$339,830"
The Justice Management Institute,To support a meeting with the National Network of Criminal Justice Coordinating Councils.,2017,"$12,950"
"The Lucy Burns Institute, Inc.",To distribute nonpartisan educational information about various approaches to election reform.,2017 - 2020,"$250,817"
"The Lucy Burns Institute, Inc.",To support the creation of a database of laws related to municipal pension initiatives and referendums.,2012 - 2015,"$282,500"
"The Marshall Project, Inc.","To support nonpartisan, online news coverage of the criminal justice system.",2014 - 2016,"$1,000,000"
"The Marshall Project, Inc.","To support nonpartisan, online news coverage of the criminal justice system.",2016 - 2018,"$1,500,000"
"The Match Foundation, Inc.",To help establish a training program for novice teachers.,2015,"$475,520"
The Meadows Mental Health Policy Institute for Texas,"To fund randomized controlled trials of Assertive Community Treatment and Forensic Assertive Community Treatment in Dallas County, Texas.",2017 - 2022,"$1,024,737"
"The Mind Trust, Inc.","To support Grantee's mission to provide support to local charter operators in Indianapolis, Indiana, with the overall goal of improving academic outcomes.",2018,"$1,156,000"
"The Mind Trust, Inc.","To promote high-quality school options in Indianapolis, Indiana.",2016 - 2018,"$10,740,000"
"The Mind Trust, Inc.","To engage in strategic planning and development to improve access to affordable charter facilities in Indianapolis, Indiana.",2018,"$60,000"
The Miriam Hospital,To evaluate the impact of the Rhode Island Department of Corrections' Medication for Addiction Treatment Program on post-release offenders with opioid use disorder.,2018 - 2020,"$175,000"
The National Head Start Association,To support a convening to identify an evaluation and continuous improvement strategy for Head Start.,2016,"$49,200"
The National Judicial College,To help develop a forensic science education program for judges.,2014 - 2017,"$196,749"
"The National Press Foundation, Inc.",To support a four-day convening hosted by the National Press Foundation.,2018 - 2019,"$85,458"
"The New Teacher Project, Inc.",To support the Indiana Department of Education in writing the school improvement section of its plan under the Every Student Succeeds Act.,2017,"$43,300"
"The New Teacher Project, Inc.","To help develop high-quality teachers in New Orleans, Louisiana.",2011 - 2013,"$4,500,000"
"The New Teacher Project, Inc.","To help develop high-quality teachers in New Orleans, Louisiana.",2012 - 2014,"$991,557"
"The New Teacher Project, Inc.","To help develop high-quality teachers in New Orleans, Louisiana.",2015 - 2018,"$2,644,907"
"The Niskanen Center, Inc.",To provide general operating support.,2017 - 2019,"$600,000"
The Novim Group,To support the development of a website and mobile application about public sector pension plans.,2013,"$250,000"
The Novim Group,To support the development of a website and mobile application about public sector pension plans.,2013 - 2014,"$750,000"
The Novim Group,"To support efforts to conduct, publish, and disseminate rigorous scientific research.",2012 - 2014,"$340,000"
The Oakland Public Education Fund,"To develop a plan to increase the number of high-quality school options in Oakland, California.",2016,"$55,000"
The Pennsylvania State University,To study how evidence-based programs for preventing youth substance abuse impact Medicaid costs and the utilization of health services.,2016 - 2019,"$50,000"
The Philanthropy Roundtable,To support Philanthropy Roundtable's Charting a Path from Criminality to Opportunity meeting.,2012 - 2013,"$15,000"
The Philanthropy Roundtable,To create a resource that will aid philanthropists in their efforts to improve K-12 education.,2013 - 2014,"$30,000"
The Philanthropy Roundtable,To create an alternative to the Veterans Disability Compensation system.,2015 - 2017,"$100,000"
"The Project on Government Oversight, Inc.",To enhance the ability of federal inspector generals to detect and recover improper payments made by government agencies.,2015 - 2018,"$378,985"
The PubPeer Foundation,To provide general operating support.,2016 - 2019,"$412,800"
The Rector and Visitors of the University of Virginia,"To support a randomized controlled trial evaluating the impact of Core Knowledge Charter Schools in Denver, Colorado.",2017 - 2020,"$510,256"
The Rector and Visitors of the University of Virginia,To conduct interdisciplinary research on eyewitness identification.,2016 - 2020,"$1,369,931"
The Rector and Visitors of the University of Virginia,To analyze the policy implications of incomplete death certificate data reporting on the federal response to the opioid crisis.,2018 - 2021,"$219,507"
The Rector and Visitors of the University of Virginia,To investigate the impacts of behavioral nudge initiatives designed to improve college entry and completion rates for low-income students.,2015 - 2017,"$105,192"
"The Regents of the University of California, Berkeley",To partner with the University of Chicago to study the impact of minimum wage policies on producer prices.,2016 - 2018,"Up To                    $74,292"
"The Regents of the University of California, Berkeley",To fund a randomized controlled trial of a cognitive behavioral therapy program for individuals with mental illness who are involved in the criminal justice system.,2016 - 2021,"$1,637,106"
"The Regents of the University of California, Berkeley",To help establish the California Policy Lab.,2017 - 2018,"$931,629"
"The Regents of the University of California, Berkeley",To support the California Department of Education in its efforts to expand and implement the Career Academies program in low-income high schools across the state.,2017 - 2020,"$335,000"
"The Regents of the University of California, Berkeley","To evaluate a pretrial supervision initiative modeled on the state of Hawaii's ""HOPE"" probation program.",2015 - 2018,"$194,762"
"The Regents of the University of California, Berkeley",To advance the development of the California Policy Lab.,2018 - 2020,"$2,675,000"
"The Regents of the University of California, Berkeley",To perform qualitative research on the impacts of pretrial diversion and detention.,2015 - 2019,"$941,326"
"The Regents of the University of California, Berkeley","To research, develop, and disseminate online tools designed to reform the use of fines and fees in the juvenile justice system.",2017 - 2020,"$1,642,799"
"The Regents of the University of California, Berkeley",To help enhance the Internal Revenue Service data infrastructure and to conduct research on topics related to inequality and opportunity.,2015 - 2017,"$374,774"
"The Regents of the University of California, Berkeley","To develop a dataset of local government pension expenditures, finances, and employment data and research around the impacts of public pension systems.",2017 - 2020,"$165,600"
"The Regents of the University of California, Berkeley",To conduct research on tax avoidance to determine ways to better design and enforce taxes.,2018 - 2020,"$744,525"
"The Regents of the University of California, Berkeley",To support the Berkeley Initiative on Transparency in the Social Sciences' competition to incentivize and encourage meta-research in economics and political science.,2015 - 2017,"$680,118"
"The Regents of the University of California, Berkeley",To study the impact of extending reference pricing incentives to high-cost specialty pharmaceutical classes and physician-administered drugs.,2017 - 2021,"$795,532"
"The Regents of the University of California, Berkeley",To fund two meta-research projects submitted as part of the Berkeley Initiative on Transparency in the Social Sciences' competition.,2016 - 2017,"$58,142"
"The Regents of the University of California, Berkeley",To fund outreach activities for the Berkeley Initiative on Transparency in the Social Sciences.,2016 - 2018,"$408,719"
"The Regents of the University of California, Hastings College of Law",To analyze pharmaceutical industry behaviors and their impact on drug prices.,2017 - 2020,"$652,120"
"The Regents of the University of California, Irvine",To support the Economic Self-Sufficiency Policy Research Institute.,2015 - 2019,"$1,326,852"
"The Regents of the University of California, Irvine",To evaluate the California Competes Tax Credit program and provide technical assistance to its administrators.,2017 - 2021,"Up To                    $225,000"
"The Regents of the University of California, Los Angeles","To evaluate the impact of the higher minimum wage ordinance in Los Angeles, California.",2015 - 2019,"$570,900"
"The Regents of the University of California, Los Angeles",To assess the field of alternatives to fines for criminal offenses.,2015 - 2017,"$61,600"
"The Regents of the University of California, Los Angeles",To help establish the California Policy Lab.,2017 - 2018,"$1,017,516"
"The Regents of the University of California, Los Angeles","To evaluate the use, operation, and outcomes associated with assigning defendants to community service.",2018 - 2019,"$292,954"
"The Regents of the University of California, Los Angeles",To advance the development of the California Policy Lab.,2018 - 2020,"$2,850,000"
"The Regents of the University of California, Los Angeles",To support the continued development of DeclareDesign.,2016 - 2019,"$491,339"
"The Regents of the University of California, Los Angeles",To support an ongoing randomized controlled trial of depot naltrexone to reduce recidivism and relapse among inmates in the Albuquerque Metropolitan Detention Center.,2017 - 2019,"$395,318"
"The Regents of the University of California, San Diego",To help develop high-quality teachers in the Houston Independent School District in Texas.,2013 - 2017,"$54,226"
"The Regents of the University of California, San Diego",To improve the statistical methodology used to evaluate the reliability of eyewitness identification.,2016 - 2020,"$322,962"
"The Regents of the University of California, San Diego",To fund a randomized controlled trial of performance incentives for community college instructors and their students.,2016 - 2022,"$312,147"
"The Regents of the University of California, San Francisco",To help develop a plan for increasing the use of preprints in the life sciences community.,2016 - 2018,"$97,741"
"The Regents of the University of California, San Francisco",To educate the public about sugar and its impact on health.,2013 - 2015,"$461,358"
"The Regents of the University of California, San Francisco",To analyze data and develop resources to help institutions adopt sugar-sweetened beverage sales bans.,2017 - 2019,"$247,382"
"The Regents of the University of California, San Francisco",To support the development an electronic archive of documents related to the sugar industry that will help advance research in nutrition science.,2017 - 2019,"$1,603,712"
"The Regents of the University of California, San Francisco",To analyze the health impacts of an institutional sales ban on sugar-sweetened beverages.,2017 - 2021,"$2,061,716"
"The Regents of the University of California, Santa Barbara",To fund a randomized controlled trial of an intervention to strengthen communication between college instructors and their students.,2016 - 2019,"$209,242"
The Regents of the University of Michigan,To promote the use of pre-acceptance publishing in political science research in an effort to improve research transparency and integrity.,2016 - 2019,"$155,020"
The Regents of the University of Michigan,To help design a randomized controlled trial of the Michigan Contraceptive Access Research and Evaluation program.,2016 - 2017,"$15,575"
The Regents of the University of Michigan,To conduct a randomized controlled trial of the Michigan Contraceptive Access Research and Evaluation program.,2017 - 2024,"Up To                    $5,986,314"
The Regents of the University of Michigan,To launch an exploratory pilot of the Criminal Justice Administrative Records System.,2016 - 2018,"$922,484"
The Regents of the University of Michigan,To rigorously evaluate the long-term impact of four programs designed to combat poverty.,2015 - 2019,"$921,018"
The Regents of the University of Michigan,To help establish the Youth Policy Lab.,2016 - 2019,"$2,826,615"
The Research Foundation of State University of New York,To help expand access to information about public sector retirement systems.,2014 - 2018,"$993,715"
The Sunlight Foundation,"To identify the criminal justice data available to researchers, policymakers, and the public, and promote data sharing.",2014 - 2016,"$613,549"
The Texas A&M University,To study the impact of two well-known initiatives that expanded access to long-acting reversible contraception.,2018 - 2019,"$66,710"
The Texas A&M University,"To design, pilot, and rigorously evaluate an intervention aimed at improving employment outcomes for individuals receiving unemployment insurance.",2017 - 2021,"$299,843"
"The Third Way Foundation, Inc.",To educate stakeholders about the portfolio model of school governance.,2015 - 2017,"$380,000"
"The Third Way Foundation, Inc.",To educate stakeholders about the portfolio model of school governance.,2017 - 2018,"$550,000"
The Trustees of Princeton University,To identify promising opportunities to reduce polarization and dysfunction in government.,2013 - 2015,"$157,856"
The University of Chicago,To develop and study a pre-booking police protocol that diverts narcotics-involved offenders in Chicago to treatment.,2016 - 2017,"$199,367"
The University of Chicago,To identify promising applications of machine learning techniques.,2015 - 2017,"$100,000"
The University of Chicago,To conduct a pilot randomized controlled trial to evaluate the effectiveness of the Mental Health Emergency Alternative Response and Treatment intervention in Chicago.,2018 - 2021,"Up To                    $236,643"
The University of Chicago,To evaluate a tutoring program for at-risk readers in elementary school.,2016 - 2017,"$50,000"
The University of Chicago,To develop and support a network of government chief data officers.,2016 - 2018,"$825,103"
The University of Chicago,"To partner with The Regents of the University of California, Berkeley to study the impact of minimum wage policies on producer prices.",2016 - 2018,"Up To                    $79,530"
The University of Chicago,To study an analytical tool that predicts which hazardous waste sites are most likely to violate environmental regulations.,2016 - 2019,"$263,435"
The University of Chicago,To fund a randomized controlled trial of a job-readiness training program designed to address cognitive and social barriers to employment.,2016 - 2023,"$155,071"
The University of Chicago,"To fund a randomized controlled trial of a program that provides wrap-around financial, academic, and personal supports for low-income community college students in Chicago, Illinois.",2016 - 2025,"$146,842"
The University of Chicago,To provide technical assistance to policy labs.,2017 - 2019,"$100,000"
The University of Chicago,To support a research fellow at the Environmental Protection Agency.,2017 - 2019,"$196,130"
The University of Chicago,To support a randomized controlled trial of a tutoring program for at-risk readers in early elementary school.,2017 - 2020,"$50,000"
The University of Chicago,To pilot a project aimed at improving outcomes for youth ages 16 to 24 who are out of school and work in Chicago.,2017 - 2021,"Up To                    $2,965,628"
The University of Chicago,"To fund a low-cost randomized controlled trial designed to help the Fresno, California identify the most effective outdoor water restriction enforcement strategy.",2018 - 2020,"$233,162"
The University of Chicago,To support grantee's Harris School of Public Policy Center's efforts to enhance transparency and accountability in government finance.,2016 - 2019,"Up To                    $1,750,000"
The University of Chicago,To establish a New York City hub for the University of Chicago Crime Lab.,2014 - 2018,"$4,499,222"
The University of Chicago,To train scholars in the field experiment method and promote field experiment research.,2014 - 2017,"$162,660"
The University of Chicago,To develop and study a pre-booking police protocol that diverts narcotics-involved offenders in Chicago to treatment.,2016 - 2017,"$199,367"
The University of Chicago,To identify promising applications of machine learning techniques.,2015 - 2017,"$100,000"
The University of Chicago,To conduct a pilot randomized controlled trial to evaluate the effectiveness of the Mental Health Emergency Alternative Response and Treatment intervention in Chicago.,2018 - 2021,"Up To                    $236,643"
The University of Chicago,To evaluate a tutoring program for at-risk readers in elementary school.,2016 - 2017,"$50,000"
The University of Chicago,To develop and support a network of government chief data officers.,2016 - 2018,"$825,103"
The University of Chicago,"To partner with The Regents of the University of California, Berkeley to study the impact of minimum wage policies on producer prices.",2016 - 2018,"Up To                    $79,530"
The University of Chicago,To study an analytical tool that predicts which hazardous waste sites are most likely to violate environmental regulations.,2016 - 2019,"$263,435"
The University of North Carolina at Greensboro,To extend an ongoing randomized controlled trial to examine the impact of North Carolina's Early College High Schools.,2018 - 2024,"$499,865"
The University of Tennessee,To evaluate the impact of book fairs for economically disadvantaged elementary school students.,2016 - 2019,"$150,000"
The University of Texas at Austin,To support the expansion of policy-relevant evidence developed using Internal Revenue Service data.,2015 - 2018,"$400,419"
The University of Texas at Austin,To use privacy-protected administrative tax data to evaluate the long-term effects of previously conducted randomized controlled trials.,2016 - 2018,"Up To                    $1,255,408"
The University of Texas at Austin,To evaluate an economic development incentive program and its impact on job growth in the state of Texas.,2016 - 2018,"$93,448"
The University of Texas at Austin,To support research aimed at improving K-12 education in Texas.,2016,"$12,000"
The University of Texas at Austin,To support research aimed at improving K-12 education in Texas.,2016,"$27,910"
The University of Texas at Austin,To support studies that will evaluate insights from behavioral economics in order to develop recommendations for procedural improvements at the Internal Revenue Service.,2015 - 2018,"$277,500"
The University of Texas at Dallas,To support the Kain Center for Education Policy Research.,2014 - 2020,"$2,541,193"
"Third Sector Capital Partners, Inc.",To advance Pay for Success Financing.,2014 - 2015,"$159,000"
Third Way Institute,To provide general operating support.,2014 - 2015,"$1,000,000"
Third Way Institute,To improve the value of higher education.,2017 - 2019,"$845,240"
Thomas B. Fordham Institute,To promote high-quality school options in the United States.,2012 - 2016,"$210,000"
Thomas B. Fordham Institute,To publish a report about the state of Florida's teacher retirement policies.,2011 - 2013,"$105,000"
Thrive Chicago NFP,To pilot a project aimed at improving outcomes for youth ages 16 to 24 who are out of school and work in Chicago.,2017 - 2021,"Up To                    $622,016"
Treatment Research Institute,To develop and study a pre-booking police protocol that diverts substance-involved offenders in Philadelphia to treatment.,2016 - 2017,"$116,777"
Trust for Conservation Innovation,To advance Pay for Success Financing.,2015 - 2017,"$71,971"
Trustees of Boston College,To support the collection of data related to public retirement plans.,2014 - 2017,"$14,573"
Trustees of Boston College,To support research on the impact of government-sponsored automatic individual retirement accounts for private sector workers who do not have access to workplace retirement savings plans.,2016 - 2018,"$129,130"
Trustees of Boston College,To support the Center for Retirement Research.,2017 - 2020,"$809,928"
Trustees of Boston University,To develop and publish 20 evidence-based commentaries on healthcare topics.,2018 - 2019,"$50,000"
Trustees of Boston University,"To analyze the relationship between prices, regulations, and investments in prescription drugs.",2018 - 2020,"$195,528"
Trustees of Boston University,"To develop a taxonomy of fraud, waste, and abuse indicators that can be used to identify potentially fraudulent substance use disorder treatment providers.",2018 - 2021,"$599,189"
Trustees of Boston University,To establish the K-12 Educational Research Fund in order to advance K-12 education-related research.,2016,"$30,000"
Trustees of Columbia University in the City of New York,To support the Center for the Advancement of Public Integrity in its efforts to improve the transparency of state and local government.,2015 - 2017,"$185,474"
Trustees of Columbia University in the City of New York,To support the Center for the Advancement of Public Integrity in its efforts to improve the transparency of state and local government.,2015 - 2017,"$416,430"
Trustees of Columbia University in the City of New York,To support efforts to increase the number of successful organ transplants and reduce the number of people on the organ donor wait list.,2016 - 2018,"$192,813"
Trustees of Columbia University in the City of New York,To support the Square One Project to reassess the nation's approach to crime.,2017 - 2020,"$915,003"
Trustees of Columbia University in the City of New York,To promote evidence-based decision making at all levels of government.,2018 - 2019,"$201,631"
Trustees of Columbia University in the City of New York,To establish the Community Corrections Administrators for Justice.,2018 - 2021,"$500,000"
Trustees of Dartmouth College,To help disseminate evidence-based treatment strategies across health care systems.,2015 - 2017,"$5,498,918"
Trustees of Indiana University,"To support a randomized controlled trial of Educational Liaison, a dropout prevention program for high school students in foster care.",2018 - 2024,"$498,908"
Trustees of the University of Pennsylvania,To fund a randomized controlled trial of an informational tool for public defenders designed to reduce sentencing disparities.,2016 - 2020,"$329,060"
Trustees of the University of Pennsylvania,To develop high-quality teachers in the Aldine Independent School District in Texas.,2011 - 2013,"$648,065"
Trustees of the University of Pennsylvania,To pilot a method of systematically collecting data about public and private healthcare payment practices to improve treatment of opioid use disorder.,2018 - 2019,"$213,574"
Trustees of the University of Pennsylvania,To support the first phase of the Actionable Intelligence for Social Policy Innovation project.,2016 - 2017,"$832,119"
Trustees of the University of Pennsylvania,"To support the expansion of the Penn Wharton Budget Model, which analyzes the economic and budgetary impact of federal budget policy reform proposals.",2017 - 2020,"$6,615,437"
Trustees of the University of Pennsylvania,To develop tools to assist law enforcement agencies and courts in responding to incidents of domestic violence.,2013 - 2016,"$67,000"
Trustees of the University of Pennsylvania,To fund a study of the effects of vertical and horizontal defense representation models on case and criminal justice outcomes.,2016 - 2019,"$247,706"
Tulane University,"To improve the quality of education data available to the public, researchers, and educators in New Orleans, Louisiana.",2014 - 2017,"$2,810,082"
Tulane University,"To improve the quality of education data available to the public, researchers, and educators in New Orleans, Louisiana.",2016 - 2019,"$797,479"
Tulane University,"To improve the quality of education data available to the public, researchers, and educators in New Orleans, Louisiana.",2017 - 2019,"$610,268"
"Uncommon Knowledge and Achievement, Inc.","To launch Together Schools, a national school management organization that will organize, manage and advance a network of autonomous public schools across the United States.",2018,"$1,700,000"
United States Common Sense,To promote best practices that can help governments achieve operational excellence in a cost-efficient manner.,2016 - 2017,"$125,447"
United States Common Sense,To support the development of a national platform of public financial data and documents for state and local governments.,2014 - 2016,"$858,419"
United Way of Lane County,To conduct a randomized controlled trial of the Kids in Transition to School program.,2016 - 2019,"$193,720"
United Ways of California,To support employer outreach and education about the CalSavers state auto-IRA program.,2018 - 2019,"$513,965"
University College London,To partner with the University of Massachusetts to assess the overall employment effects of minimum wage policies in the United States.,2016 - 2020,"$126,364"
University of Arizona,To support a longitudinal study of how computer scientists share research artifacts in order to inform the creation of a web-based data collection system.,2015 - 2020,"$357,568"
University of Arkansas,To provide information about teachers' pension systems.,2016 - 2018,"$93,764"
University of Birmingham,To study eyewitness identification.,2017 - 2019,"$159,583"
University of Cincinnati,To examine monetary sanctions in community corrections in seven states.,2018 - 2022,"Up To                    $2,697,998"
University of Cincinnati Research Institute,To fund a center for police research and policy in collaboration with the International Association of Chiefs of Police.,2016 - 2019,"$1,996,684"
University of Colorado Foundation,To research back-loaded retirement benefit designs and the impact of pension reform on teacher quality.,2014,"$25,000"
University of Connecticut,To study how expungement affects recidivism and employment.,2016 - 2018,"Up To                    $74,096"
University of Connecticut,To study how pretrial detention affects a variety of defendant outcomes.,2016 - 2018,"Up To                    $80,107"
University of Denver,To help establish a policy lab in the state of Colorado.,2017 - 2021,"Up To                    $4,557,540"
University of Denver,"To fund a randomized controlled trial of Fostering Opportunities, a program that provides youth in foster care with an advocate who helps to oversee school attendance and course completion.",2018 - 2022,"$266,033"
University of Denver,To help improve the process of judicial selection and evaluation through the Quality Judges Initiative.,2012 - 2013,"$200,000"
University of Denver,"To fund a randomized controlled trial of Fostering Healthy Futures for Teens, an intensive mentoring program for students with open child welfare cases and histories of maltreatment.",2017 - 2021,"$548,455"
University of Edinburgh,To evaluate the impact of Nature Publishing Group's new editorial requirements for research in the life sciences.,2015 - 2017,"$82,859"
"University of Georgia Research Foundation, Inc.",To conduct research about the potential effects of ranked choice voting.,2016 - 2018,"$60,094"
University of Houston,To expand access to information about public sector retirement systems.,2014,"$21,780"
University of Kentucky,To evaluate the effects of the State of Tennessee's Achievement School District and local Innovation Zones on student achievement.,2017 - 2020,"$381,618"
University of Maryland,To help establish the Maryland Data Analysis Center.,2014 - 2019,"$1,412,215"
"University of Maryland, Baltimore",To improve transparency in clinical trials.,2017 - 2021,"$1,442,723"
University of Massachusetts,To partner with University College London to assess the overall employment effects of minimum wage policies in the United States.,2016 - 2020,"$220,906"
University of Miami,To develop and study a multi-dimensional family therapy program in the Miami-Dade criminal drug court.,2016 - 2019,"$429,389"
University of Missouri,To expand access to information about public sector retirement systems.,2014 - 2018,"$506,380"
University of Missouri,"To conduct research on public teacher pension plans in Missouri, Arkansas, Tennessee, and Texas.",2017 - 2019,"$317,900"
University of Missouri,To develop high-quality teachers in the Houston Independent School District in Texas.,2013 - 2017,"$210,028"
"University of New Mexico Health Sciences Center, ECHO Institute",To evaluate the impact of the Extension for Community Healthcare Outcomes model on patients with opioid use disorder.,2018 - 2019,"$208,805"
University of North Carolina at Chapel Hill,To evaluate the impact of nutrition-related fiscal policies and programs on public health.,2018 - 2021,"Up To                    $1,774,371"
University of North Carolina at Charlotte,"To evaluate the Mecklenburg County, North Carolina Driver's License Recovery Initiative.",2014 - 2016,"$40,688"
University of Notre Dame Du Lac,"To fund a low-cost randomized controlled trial of Stay the Course, a program designed to increase community college graduation rates for low-income students.",2017 - 2019,"$129,529"
University of Rochester,To conduct a randomized controlled trial to evaluate the Rochester Forensic Assertive Community Treatment model in Minnesota.,2018 - 2023,"$981,830"
University of Southern California,To evaluate laws that regulate state and local public sector employees.,2015 - 2017,"$581,622"
University of Southern California,To develop a predictive risk model that improved the way Child Protective Services triages cases.,2016 - 2019,"$100,000"
University of Southern California,To support a low-cost randomized controlled trial of the Neighborhood Resource Network program.,2016 - 2020,"$139,963"
University of Toronto,To conduct research on pretrial court proceedings in order to make the criminal justice system fairer and more effective.,2017 - 2019,"$12,500"
University of Utah,To advance Pay for Success Financing.,2015 - 2017,"$341,911"
University of Utah,To support the University of Utah's Policy Innovation Lab in order to facilitate and implement high quality Pay for Success projects.,2015 - 2018,"$1,680,040"
University of Utah,"To provide technical support, capacity building resources, and training to reproductive health providers in Utah.",2018 - 2021,"$4,000,000"
University of Vermont and State Agricultural College Foundation,To evaluate an interim buprenorphine treatment for reducing the risk of opioid misuse and overdose.,2017 - 2019,"$776,474"
University of Washington,"To evaluate the impact of higher minimum wage ordinances in Chicago, Illinois and Seattle, Washington.",2015 - 2019,"$2,641,118"
University of Washington,To develop an implementation plan for the Applied Public Policy Lab.,2016 - 2018,"$386,173"
University of Washington,To study a program that pairs post-release offenders in Washington state with medical professionals.,2016 - 2019,"$450,771"
